Code,MthEnd,MthFwdReturn,MthEndMCap
AXP,30-09-2010,-0.8892,50571
BA,30-09-2010,6.1617,48686.1
BAC,30-09-2010,-12.6197,131468.5
BIIB,30-09-2010,11.7427,13576.3
BK,30-09-2010,-3.7527,31722.9
BLK,30-09-2010,0.4347,32605.2
BMY,30-09-2010,-0.7746,46489.4
BRK/B,30-09-2010,-3.7736,204790.4
C,30-09-2010,6.6496,113286.5
CAT,30-09-2010,0.4555,49605.6
CELG,30-09-2010,7.6723,26469.1
CHTR,30-09-2010,-0.0615,3654.8
CL,30-09-2010,1.0316,37353.9
CMCSA,30-09-2010,14.6895,49958.2
COF,30-09-2010,-5.7649,18065.4
COP,30-09-2010,4.3551,85189.6
COST,30-09-2010,-2.3503,28319.6
CSCO,30-09-2010,4.3836,122317.4
CVS,30-09-2010,-3.988,42743.1
CVX,30-09-2010,1.9124,162958.6
DHR,30-09-2010,6.7717,26503
DIS,30-09-2010,9.139,63307.3
DUK,30-09-2010,2.8233,23354.2
DWDP,30-09-2010,12.3088,31849.6
EMR,30-09-2010,4.2537,39621.8
EXC,30-09-2010,-4.1334,28145.2
F,30-09-2010,15.4412,42097.3
FB,30-09-2010,NA,NA
FDX,30-09-2010,2.5965,26901.9
FOX,30-09-2010,6.8393,35829.8
FOXA,30-09-2010,10.8729,35829.8
GD,30-09-2010,9.1698,23891.3
GE,30-09-2010,-1.4154,173732.3
GILD,30-09-2010,11.4013,29863.7
GM,30-09-2010,NA,NA
GOOG,30-09-2010,NA,167911.1
GOOGL,30-09-2010,16.7196,167911.1
GS,30-09-2010,11.447,78752.5
HAL,30-09-2010,-3.6589,30009.5
HD,30-09-2010,-2.4621,52756.7
HON,30-09-2010,7.2144,33930.9
IBM,30-09-2010,7.0523,169187.8
INTC,30-09-2010,4.4271,106905.6
JNJ,30-09-2010,2.8728,170665.4
JPM,30-09-2010,-1.0029,150914.3
KHC,30-09-2010,NA,NA
KMI,30-09-2010,NA,NA
KO,30-09-2010,4.7847,135149.7
LLY,30-09-2010,-3.6408,42124.2
LMT,30-09-2010,0.014,25838.9
LOW,30-09-2010,-3.7617,31279
MA,30-09-2010,7.2424,29418.3
MCD,30-09-2010,4.3753,79303.9
MDLZ,30-09-2010,4.569,53821.6
MDT,30-09-2010,5.6151,36262.6
MET,30-09-2010,4.8895,34862.2
MMM,30-09-2010,-2.8716,61835.9
MO,30-09-2010,5.8181,50056.9
MON,30-09-2010,24.686,25903.8
MRK,30-09-2010,-1.3583,113139
MS,30-09-2010,0.9763,34477.2
MSFT,30-09-2010,8.8812,211925.9
NEE,30-09-2010,1.1951,22617.6
NKE,30-09-2010,1.6222,38537.9
ORCL,30-09-2010,9.6261,134978
OXY,30-09-2010,0.4215,63598.7
PCLN,30-09-2010,8.173,16855.2
PEP,30-09-2010,-1.7158,105701.6
PFE,30-09-2010,1.4269,138017.2
PG,30-09-2010,6.8089,170162.4
PM,30-09-2010,4.4448,102677.4
PYPL,30-09-2010,NA,NA
QCOM,30-09-2010,0.0609,72446.4
RTN,30-09-2010,1.6569,17100.7
SBUX,30-09-2010,11.7808,18909.6
SLB,30-09-2010,13.4394,84287.2
SO,30-09-2010,2.9155,30935.5
SPG,30-09-2010,3.5368,27156.1
T,30-09-2010,1.1837,168997.4
TGT,30-09-2010,-2.8069,38554.2
TWX,30-09-2010,6.0685,34457.2
TXN,30-09-2010,9.438,32437.6
UNH,30-09-2010,2.6773,39473
UNP,30-09-2010,7.1883,40700.8
UPS,30-09-2010,0.9747,66069.5
USB,30-09-2010,11.9334,41449
UTX,30-09-2010,4.9698,66177.6
V,30-09-2010,5.2518,54252.2
VZ,30-09-2010,1.1189,92123.5
WBA,30-09-2010,1.1343,32601.5
WFC,30-09-2010,3.7627,131437.5
WMT,30-09-2010,1.2145,194628
XOM,30-09-2010,7.6064,314622.6
0848680D,30-09-2010,-10.9071,13656.3
AA,30-09-2010,8.5054,12366.9
AEP,30-09-2010,3.3398,17370
AVP,30-09-2010,-5.1697,13773.6
BAX,30-09-2010,6.7491,27880.3
BHI,30-09-2010,9.3225,18364.4
CPB,30-09-2010,2.1845,12011.8
DD,30-09-2010,5.9615,40448.6
DELL,30-09-2010,10.9869,25222.9
DOW,30-09-2010,12.3088,31849.6
